instance.type,instance.value,label.type,label.xml:lang,label.value,comment.type,comment.xml:lang,comment.value,abstract.type,abstract.xml:lang,abstract.value,wikicategories.type,wikicategories.value,DBpediaOntology.type,DBpediaOntology.value
uri,http://dbpedia.org/resource/Cephalometry,literal,en,Cephalometry,literal,en,"Cephalometry is the study and measurement of the head, usually the human head, especially by medical imaging such as radiography. Craniometry, the measurement of the cranium (skull), is a large subset of cephalometry. Cephalometry also has a history in phrenology, which is the study of personality and character as well as physiognomy, which is the study of facial features. Cephalometry as applied in a comparative anatomy context informs biological anthropology. In clinical contexts such as dentistry and oral and maxillofacial surgery, cephalometric analysis helps in treatment and research; cephalometric landmarks guide surgeons in planning and operating.",literal,en,"Cephalometry is the study and measurement of the head, usually the human head, especially by medical imaging such as radiography. Craniometry, the measurement of the cranium (skull), is a large subset of cephalometry. Cephalometry also has a history in phrenology, which is the study of personality and character as well as physiognomy, which is the study of facial features. Cephalometry as applied in a comparative anatomy context informs biological anthropology. In clinical contexts such as dentistry and oral and maxillofacial surgery, cephalometric analysis helps in treatment and research; cephalometric landmarks guide surgeons in planning and operating.",literal,http://dbpedia.org/resource/Category:Medical_imaging,literal,http://dbpedia.org/ontology/Book
uri,http://dbpedia.org/resource/Cephalotribe,literal,en,Cephalotribe,literal,en,A cephalotribe was a medical instrument used in obstetrics to crush the skull of stillborn fetuses (cephalotripsy). It was used in cases of obstructed labor (dystocia) to aid delivery.,literal,en,A cephalotribe was a medical instrument used in obstetrics to crush the skull of stillborn fetuses (cephalotripsy). It was used in cases of obstructed labor (dystocia) to aid delivery.,literal,http://dbpedia.org/resource/Category:Surgical_instruments,literal,http://dbpedia.org/class/yago/Artifact100021939 | http://dbpedia.org/class/yago/Device103183080 | http://dbpedia.org/class/yago/Instrument103574816 | http://dbpedia.org/class/yago/Instrumentality103575240 | http://dbpedia.org/class/yago/MedicalInstrument103739693 | http://dbpedia.org/class/yago/Object100002684 | http://dbpedia.org/class/yago/PhysicalEntity100001930 | http://dbpedia.org/class/yago/SurgicalInstrument104364545 | http://dbpedia.org/class/yago/Whole100003553 | http://dbpedia.org/class/yago/WikicatSurgicalInstruments | http://dbpedia.org/ontology/Agent
uri,http://dbpedia.org/resource/Implantable_loop_recorder,literal,en,Implantable loop recorder,literal,en,"An implantable loop recorder (ILR), also known as an insertable cardiac monitor (ICM), is a small device about the size of a pack of chewing gum or USB memory stick that is implanted just under the skin of the chest for cardiac monitoring (that is, to record the heart's electrical activity).",literal,en,"An implantable loop recorder (ILR), also known as an insertable cardiac monitor (ICM), is a small device about the size of a pack of chewing gum or USB memory stick that is implanted just under the skin of the chest for cardiac monitoring (that is, to record the heart's electrical activity).",literal,http://dbpedia.org/resource/Category:Cardiac_electrophysiology | http://dbpedia.org/resource/Category:Implants_(medicine) | http://dbpedia.org/resource/Category:Medical_devices | http://dbpedia.org/resource/Category:Medical_testing_equipment,literal,http://dbpedia.org/class/yago/Abstraction100002137 | http://dbpedia.org/class/yago/Act100030358 | http://dbpedia.org/class/yago/Activity100407535 | http://dbpedia.org/class/yago/Event100029378 | http://dbpedia.org/class/yago/Procedure101023820 | http://dbpedia.org/class/yago/PsychologicalFeature100023100 | http://dbpedia.org/class/yago/WikicatCardiacProcedures | http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity | http://dbpedia.org/ontology/Device
uri,http://dbpedia.org/resource/Invoke_Image_Display,literal,en,Invoke Image Display,literal,en,"Invoke Image Display (IID) is an IHE Integration Profile that simplifies the task of integrating non-image-aware systems like EHRs, EMRs, PHRs, RIS and other information systems with image-aware systems like PACS, VNA and Image Sharing solutions, by providing a standard mechanism to request that imaging studies be displayed.",literal,en,"Invoke Image Display (IID) is an IHE Integration Profile that simplifies the task of integrating non-image-aware systems like EHRs, EMRs, PHRs, RIS and other information systems with image-aware systems like PACS, VNA and Image Sharing solutions, by providing a standard mechanism to request that imaging studies be displayed.",literal,http://dbpedia.org/resource/Category:Medical_imaging,literal,http://dbpedia.org/ontology/Film
uri,http://dbpedia.org/resource/Trabectome,literal,en,Trabectome,literal,en,"A trabectome is a surgical device that can be used for ab interno trabeculotomy, a minimally invasive glaucoma surgery for the surgical management of adult, juvenile and infantile glaucoma. The Ttrabecular meshwork is a major site of resistance to aqueous humor outflow. As angle surgeries such as Trabectome follow the physiologic outflow pathway, the risk of complications are significantly lower than filtering surgeries. Hypotony with damage to the macula (hypotony maculopathy), that can occur with pressures below 5 mmHg for instance after traditional trabeculectomy, because of the episcleral venous pressure limit. The Trabectome handpiece is inserted into the anterior chamber, its tip positioned into Schlemm's canal and advanced to the left and to the right. Different from cautery, the ti",literal,en,"A trabectome is a surgical device that can be used for ab interno trabeculotomy, a minimally invasive glaucoma surgery for the surgical management of adult, juvenile and infantile glaucoma. The Ttrabecular meshwork is a major site of resistance to aqueous humor outflow. As angle surgeries such as Trabectome follow the physiologic outflow pathway, the risk of complications are significantly lower than filtering surgeries. Hypotony with damage to the macula (hypotony maculopathy), that can occur with pressures below 5 mmHg for instance after traditional trabeculectomy, because of the episcleral venous pressure limit. The Trabectome handpiece is inserted into the anterior chamber, its tip positioned into Schlemm's canal and advanced to the left and to the right. Different from cautery, the tip generates plasma to molecularize the trabecular meshwork and remove it drag-free and with minimal thermal effect. Active irrigation of trabectome surgery system helps to keep anterior chamber formed during the procedure and precludes the need for ophthalmic viscoelastic devices. Viscoelastics tend to trap produced debris or gas bubbles and diminish visualization. The Trabectome decreases the intra-ocular pressure typically to a mid-teen range and reduces patient's requirement to take glaucoma eye drops and glaucoma medications (see references). The theoretically lowest pressure that can be achieved is equal to 8 mmHg in the episcleral veins. This procedure is performed through a small incision and can be done on an outpatient basis.",literal,http://dbpedia.org/resource/Category:Surgical_instruments,literal,http://dbpedia.org/ontology/Device
uri,http://dbpedia.org/resource/Pocket_mask,literal,en,Pocket mask,literal,en,"A pocket mask, or pocket face mask or CPR mask, is a device used to safely deliver rescue breaths during a cardiac arrest or respiratory arrest. The specific term ""Pocket Mask"" is the trademarked name for the product manufactured by Laerdal Medical AS. It is not to be confused with a bag valve mask (BVM).",literal,en,"A pocket mask, or pocket face mask or CPR mask, is a device used to safely deliver rescue breaths during a cardiac arrest or respiratory arrest. The specific term ""Pocket Mask"" is the trademarked name for the product manufactured by Laerdal Medical AS. It is not to be confused with a bag valve mask (BVM).",literal,http://dbpedia.org/resource/Category:Emergency_medical_equipment,literal,http://dbpedia.org/ontology/Device
uri,http://dbpedia.org/resource/Debakey_forceps,literal,en,Debakey forceps,literal,en,"Debakey forceps are a type of atraumatic tissue forceps used in vascular procedures to avoid tissue damage during manipulation. They are typically large (some examples are upwards of 12 inches (36 cm) long), and have a distinct coarsely ribbed grip panel, as opposed to the finer ribbing on most other tissue forceps. They were developed by Dr. Michael E. DeBakey, along with other innovations during his tenure at Baylor College of Medicine.",literal,en,"Debakey forceps are a type of atraumatic tissue forceps used in vascular procedures to avoid tissue damage during manipulation. They are typically large (some examples are upwards of 12 inches (36 cm) long), and have a distinct coarsely ribbed grip panel, as opposed to the finer ribbing on most other tissue forceps. They were developed by Dr. Michael E. DeBakey, along with other innovations during his tenure at Baylor College of Medicine.",literal,http://dbpedia.org/resource/Category:Surgical_instruments,literal,http://dbpedia.org/class/yago/Artifact100021939 | http://dbpedia.org/class/yago/Device103183080 | http://dbpedia.org/class/yago/Instrument103574816 | http://dbpedia.org/class/yago/Instrumentality103575240 | http://dbpedia.org/class/yago/MedicalInstrument103739693 | http://dbpedia.org/class/yago/Object100002684 | http://dbpedia.org/class/yago/PhysicalEntity100001930 | http://dbpedia.org/class/yago/SurgicalInstrument104364545 | http://dbpedia.org/class/yago/Whole100003553 | http://dbpedia.org/class/yago/WikicatSurgicalInstruments
uri,http://dbpedia.org/resource/Elizabethan_collar,literal,en,Elizabethan collar,literal,en,"An Elizabethan collar, E-collar, Buster collar or pet cone (sometimes humorously called a pet lamp-shade, pet radar dish, dog-saver, or cone of shame) is a protective medical device worn by an animal, usually a cat or dog. Shaped like a truncated cone, its purpose is to prevent the animal from biting or licking at its body or scratching at its head or neck while wounds or injuries heal. The collars are named from the ruffs worn in Elizabethan times. A U.S. patent was filed by Frank L. Johnson in 1959.",literal,en,"An Elizabethan collar, E-collar, Buster collar or pet cone (sometimes humorously called a pet lamp-shade, pet radar dish, dog-saver, or cone of shame) is a protective medical device worn by an animal, usually a cat or dog. Shaped like a truncated cone, its purpose is to prevent the animal from biting or licking at its body or scratching at its head or neck while wounds or injuries heal. The collars are named from the ruffs worn in Elizabethan times. A U.S. patent was filed by Frank L. Johnson in 1959. The device is generally attached to the pet's usual collar with strings or tabs passed through holes punched in the sides of the plastic. The neck of the collar should be short enough to let the animal eat and drink. Although most pets adjust to them quite well, others will not eat or drink with the collar in place and the collar is temporarily removed for meals. While purpose-made collars can be purchased from veterinarians or pet stores, they can also be made from plastic and cardboard or by using plastic flowerpots, wastebaskets, buckets or lampshades. Modern collars might involve soft fabric trim along the edges to increase comfort and velcro surfaces for ease of attachment and removal.",literal,http://dbpedia.org/resource/Category:Veterinary_equipment,literal,http://dbpedia.org/ontology/Device
uri,http://dbpedia.org/resource/Scalpel,literal,en,Scalpel,literal,en,"A scalpel, or lancet, or bistoury, is a small and extremely sharp bladed instrument used for surgery, anatomical dissection, podiatry and various arts and crafts (called a hobby knife). Scalpels may be single-use disposable or re-usable. Re-usable scalpels can have permanently attached blades that can be sharpened or, more commonly, removable single-use blades. Disposable scalpels usually have a plastic handle with an extensible blade (like a utility knife) and are used once, then the entire instrument is discarded. Scalpel blades are usually individually packed in sterile pouches but are also offered non-sterile. Double-edged scalpels are referred to as ""lancets"".",literal,en,"A scalpel, or lancet, or bistoury, is a small and extremely sharp bladed instrument used for surgery, anatomical dissection, podiatry and various arts and crafts (called a hobby knife). Scalpels may be single-use disposable or re-usable. Re-usable scalpels can have permanently attached blades that can be sharpened or, more commonly, removable single-use blades. Disposable scalpels usually have a plastic handle with an extensible blade (like a utility knife) and are used once, then the entire instrument is discarded. Scalpel blades are usually individually packed in sterile pouches but are also offered non-sterile. Double-edged scalpels are referred to as ""lancets"". Scalpel blades are usually made of hardened and tempered steel, stainless steel, or high carbon steel; in addition, titanium, ceramic, diamond and even obsidian knives are not uncommon. For example, when performing surgery under MRI guidance, steel blades are unusable (the blades would be drawn to the magnets, or may cause image artifacts). Historically, the preferred material for surgical scalpels was silver. Scalpel blades are also offered by some manufacturers with a zirconium nitride–coated edge to improve sharpness and edge retention. Others manufacture blades that are polymer-coated to enhance lubricity during a cut. Alternatives to scalpels in surgical applications include electrocautery and lasers.",literal,http://dbpedia.org/resource/Category:Medical_knives | http://dbpedia.org/resource/Category:Surgical_instruments,literal,http://www.w3.org/2002/07/owl#Thing
uri,http://dbpedia.org/resource/Visual_prosthesis,literal,en,Visual prosthesis,literal,en,"A visual prosthesis, often referred to as a bionic eye, is an experimental visual device intended to restore functional vision in those suffering from partial or total blindness. Many devices have been developed, usually modeled on the cochlear implant or bionic ear devices, a type of neural prosthesis in use since the mid-1980s. The idea of using electrical current (e.g., electrically stimulating the retina or the visual cortex) to provide sight dates back to the 18th century, discussed by Benjamin Franklin, Tiberius Cavallo, and Charles LeRoy.",literal,en,"A visual prosthesis, often referred to as a bionic eye, is an experimental visual device intended to restore functional vision in those suffering from partial or total blindness. Many devices have been developed, usually modeled on the cochlear implant or bionic ear devices, a type of neural prosthesis in use since the mid-1980s. The idea of using electrical current (e.g., electrically stimulating the retina or the visual cortex) to provide sight dates back to the 18th century, discussed by Benjamin Franklin, Tiberius Cavallo, and Charles LeRoy.",literal,http://dbpedia.org/resource/Category:Implants_(medicine) | http://dbpedia.org/resource/Category:Medical_devices | http://dbpedia.org/resource/Category:Neuroprosthetics,literal,http://dbpedia.org/class/yago/Artifact100021939 | http://dbpedia.org/class/yago/Corrective103111899 | http://dbpedia.org/class/yago/Device103183080 | http://dbpedia.org/class/yago/Implant103563710 | http://dbpedia.org/class/yago/Instrumentality103575240 | http://dbpedia.org/class/yago/Object100002684 | http://dbpedia.org/class/yago/PhysicalEntity100001930 | http://dbpedia.org/class/yago/Prosthesis104013729 | http://dbpedia.org/class/yago/Whole100003553 | http://dbpedia.org/class/yago/WikicatImplants | http://dbpedia.org/ontology/Device
