instance.type,instance.value,label.type,label.xml:lang,label.value,comment.type,comment.xml:lang,comment.value,abstract.type,abstract.xml:lang,abstract.value,wikicategories.type,wikicategories.value,DBpediaOntology.type,DBpediaOntology.value
uri,http://dbpedia.org/resource/Vendor_Neutral_Archive,literal,en,Vendor Neutral Archive,literal,en,"A Vendor Neutral Archive (VNA) is a medical imaging technology in which images and documents (and potentially any file of clinical relevance) are stored (archived) in a standard format with a standard interface, such that they can be accessed in a vendor-neutral manner by other systems. This terminology is used as distinct from a traditional Picture Archiving and Communications Systems (PACS), although there is debate about where the boundary between a VNA and a PACS lies along the continuum of their common features.",literal,en,"A Vendor Neutral Archive (VNA) is a medical imaging technology in which images and documents (and potentially any file of clinical relevance) are stored (archived) in a standard format with a standard interface, such that they can be accessed in a vendor-neutral manner by other systems. This terminology is used as distinct from a traditional Picture Archiving and Communications Systems (PACS), although there is debate about where the boundary between a VNA and a PACS lies along the continuum of their common features.",literal,http://dbpedia.org/resource/Category:Medical_imaging,literal,http://dbpedia.org/class/yago/Abstraction100002137 | http://dbpedia.org/class/yago/Communication100033020 | http://dbpedia.org/class/yago/Format106636806 | http://dbpedia.org/class/yago/Information106634376 | http://dbpedia.org/class/yago/Message106598915 | http://dbpedia.org/class/yago/WikicatComputerFileFormats | http://dbpedia.org/ontology/MusicGenre
uri,http://dbpedia.org/resource/Dermatome_(instrument),literal,en,Dermatome (instrument),literal,en,"A dermatome is a surgical instrument used to produce thin slices of skin from a donor area, in order to use them for making skin grafts. One of its main applications is for reconstituting skin areas damaged by grade 3 burns or trauma.",literal,en,"A dermatome is a surgical instrument used to produce thin slices of skin from a donor area, in order to use them for making skin grafts. One of its main applications is for reconstituting skin areas damaged by grade 3 burns or trauma. Dermatomes can be operated either manually or electrically. The first drum dermatomes, developed in the 1930s, were manually operated. Afterwards, dermatomes which were operated by air pressure, such as the Brown dermatome, achieved higher speed and precision. Electrical dermatomes are better for cutting out thinner and longer strips of skin with a more homogeneous thickness.",literal,http://dbpedia.org/resource/Category:Surgical_instruments,literal,http://dbpedia.org/class/yago/Artifact100021939 | http://dbpedia.org/class/yago/Device103183080 | http://dbpedia.org/class/yago/Instrument103574816 | http://dbpedia.org/class/yago/Instrumentality103575240 | http://dbpedia.org/class/yago/MedicalInstrument103739693 | http://dbpedia.org/class/yago/Object100002684 | http://dbpedia.org/class/yago/PhysicalEntity100001930 | http://dbpedia.org/class/yago/SurgicalInstrument104364545 | http://dbpedia.org/class/yago/Whole100003553 | http://dbpedia.org/class/yago/WikicatSurgicalInstruments
uri,http://dbpedia.org/resource/RTI-121,literal,en,RTI-121,literal,en,"(–)-2β-Carboisopropoxy-3β-(4-iodophenyl)tropane (RTI-4229-121, IPCIT) is a stimulant drug used in scientific research, which was developed in the early 1990s. RTI-121 is a phenyltropane based, highly selective dopamine reuptake inhibitor and is derived from methylecgonidine. RTI-121 is a potent and long-lasting stimulant, producing stimulant effects for more than 10 hours after a single dose in mice which would limit its potential uses in humans, as it might have significant abuse potential if used outside a medical setting. However RTI-121 occupies the dopamine transporter more slowly than cocaine, and so might have lower abuse potential than cocaine itself.",literal,en,"(–)-2β-Carboisopropoxy-3β-(4-iodophenyl)tropane (RTI-4229-121, IPCIT) is a stimulant drug used in scientific research, which was developed in the early 1990s. RTI-121 is a phenyltropane based, highly selective dopamine reuptake inhibitor and is derived from methylecgonidine. RTI-121 is a potent and long-lasting stimulant, producing stimulant effects for more than 10 hours after a single dose in mice which would limit its potential uses in humans, as it might have significant abuse potential if used outside a medical setting. However RTI-121 occupies the dopamine transporter more slowly than cocaine, and so might have lower abuse potential than cocaine itself.",literal,http://dbpedia.org/resource/Category:Medical_imaging | http://dbpedia.org/resource/Category:Neuroimaging,literal,http://dbpedia.org/class/yago/Abstraction100002137 | http://dbpedia.org/class/yago/AliphaticCompound114601294 | http://dbpedia.org/class/yago/Amine114739004 | http://dbpedia.org/class/yago/Chemical114806838 | http://dbpedia.org/class/yago/Cognition100023271 | http://dbpedia.org/class/yago/Compound105870180 | http://dbpedia.org/class/yago/Compound114818238 | http://dbpedia.org/class/yago/Concept105835747 | http://dbpedia.org/class/yago/Content105809192 | http://dbpedia.org/class/yago/Idea105833840 | http://dbpedia.org/class/yago/Material114580897 | http://dbpedia.org/class/yago/Matter100020827 | http://dbpedia.org/class/yago/MethaneSeries114951377 | http://dbpedia.org/class/yago/OrganicCompound114727670 | http://dbpedia.org/class/yago/Part113809207 | http://dbpedia.org/class/yago/PhysicalEntity100001930 | http://dbpedia.org/class/yago/PsychologicalFeature100023100 | http://dbpedia.org/class/yago/Relation100031921 | http://dbpedia.org/class/yago/Substance100019613 | http://dbpedia.org/class/yago/Whole105869584 | http://dbpedia.org/class/yago/WikicatRTICompounds | http://dbpedia.org/class/yago/WikicatSympathomimeticAmines | http://dbpedia.org/ontology/ChemicalSubstance | http://dbpedia.org/ontology/Drug | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#ChemicalObject | http://www.w3.org/2002/07/owl#Thing | http://www.wikidata.org/entity/Q8386
uri,http://dbpedia.org/resource/Intermittent_catheterisation,literal,en,Intermittent catheterisation,literal,en,Intermittent catheterization is a medical technique used in conditions where patients need either short term catheter-based management of the urinary bladder or as a daily habit for life. Intermittent catheterization is considered the ‘gold-standard’ for medical bladder emptying. Intermittent catheterization can be done by the patient or a caregiver in home environment.,literal,en,Intermittent catheterization is a medical technique used in conditions where patients need either short term catheter-based management of the urinary bladder or as a daily habit for life. Intermittent catheterization is considered the ‘gold-standard’ for medical bladder emptying. Intermittent catheterization can be done by the patient or a caregiver in home environment.,literal,http://dbpedia.org/resource/Category:Catheters,literal,http://dbpedia.org/class/yago/Artifact100021939 | http://dbpedia.org/class/yago/Catheter102984469 | http://dbpedia.org/class/yago/Conduit103089014 | http://dbpedia.org/class/yago/Object100002684 | http://dbpedia.org/class/yago/Passage103895293 | http://dbpedia.org/class/yago/PhysicalEntity100001930 | http://dbpedia.org/class/yago/Tube104493505 | http://dbpedia.org/class/yago/Way104564698 | http://dbpedia.org/class/yago/Whole100003553 | http://dbpedia.org/class/yago/WikicatCatheters | http://dbpedia.org/class/yago/YagoGeoEntity | http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity
uri,http://dbpedia.org/resource/Medical_glove,literal,en,Medical glove,literal,en,"Medical gloves are disposable gloves used during medical examinations and procedures to help prevent cross-contamination between caregivers and patients. Medical gloves are made of different polymers including latex, nitrile rubber, polyvinyl chloride and neoprene; they come unpowdered, or powdered with corn starch to lubricate the gloves, making them easier to put on the hands.",literal,en,"Medical gloves are disposable gloves used during medical examinations and procedures to help prevent cross-contamination between caregivers and patients. Medical gloves are made of different polymers including latex, nitrile rubber, polyvinyl chloride and neoprene; they come unpowdered, or powdered with corn starch to lubricate the gloves, making them easier to put on the hands. Corn starch replaced tissue-irritating lycopodium powder and talc, but even corn starch can impede healing if it gets into tissues (as during surgery). As such, unpowdered gloves are used more often during surgery and other sensitive procedures. Special manufacturing processes are used to compensate for the lack of powder. There are two main types of medical gloves: examination and surgical. Surgical gloves have more precise sizing with a better precision and sensitivity and are made to a higher standard. Examination gloves are available as either sterile or non-sterile, while surgical gloves are generally sterile. Besides medicine, medical gloves are widely used in chemical and biochemical laboratories. Medical gloves offer some basic protection against corrosives and surface contamination. However, they are easily penetrated by solvents and various hazardous chemicals, and should not be used for dishwashing or otherwise when the task involves immersion of the gloved hand in the solvent.",literal,http://dbpedia.org/resource/Category:Medical_devices,literal,http://dbpedia.org/class/yago/Artifact100021939 | http://dbpedia.org/class/yago/BaseballEquipment102799897 | http://dbpedia.org/class/yago/BaseballGlove102800213 | http://dbpedia.org/class/yago/Device103183080 | http://dbpedia.org/class/yago/Equipment103294048 | http://dbpedia.org/class/yago/Implement103563967 | http://dbpedia.org/class/yago/Instrument103574816 | http://dbpedia.org/class/yago/Instrumentality103575240 | http://dbpedia.org/class/yago/MedicalInstrument103739693 | http://dbpedia.org/class/yago/Object100002684 | http://dbpedia.org/class/yago/PhysicalEntity100001930 | http://dbpedia.org/class/yago/SportsEquipment104285146 | http://dbpedia.org/class/yago/SurgicalInstrument104364545 | http://dbpedia.org/class/yago/Tool104451818 | http://dbpedia.org/class/yago/Whole100003553 | http://dbpedia.org/class/yago/WikicatGloves | http://dbpedia.org/class/yago/WikicatSurgicalInstruments | http://dbpedia.org/class/yago/WikicatTools
uri,http://dbpedia.org/resource/Anal_plug,literal,en,Anal plug,literal,en,"An anal plug is a medical device sometimes used to treat fecal incontinence by blocking involuntary loss of fecal material. They vary in design and composition, but are typically single-use disposable devices made out of soft materials that open out into a bowl shape during use.",literal,en,"An anal plug is a medical device sometimes used to treat fecal incontinence by blocking involuntary loss of fecal material. They vary in design and composition, but are typically single-use disposable devices made out of soft materials that open out into a bowl shape during use.",literal,http://dbpedia.org/resource/Category:Medical_devices,literal,http://www.w3.org/2002/07/owl#Thing
uri,http://dbpedia.org/resource/Retractor_(medical),literal,en,Retractor (medical),literal,en,"A retractor is a surgical instrument used to separate the edges of a surgical incision or wound, or to hold back underlying organs and tissues so that body parts under the incision may be accessed. The general term retractor usually describes a simple handheld steel tool possessing a curved, hooked, or angled blade and fitted with a comfortable handle, that when in place maintains the desired position of a given region of tissue. These simple retractors may be handheld, clamped in place, or suspended at the end of a robotic arm. Retractors can also be self-retaining and not need to be held once inserted by having two or more opposing blades or hooks which are separated via spring, ratchet, worm gear or other method. The term retractor is also used to describe distinct, hand-cranked devices",literal,en,"A retractor is a surgical instrument used to separate the edges of a surgical incision or wound, or to hold back underlying organs and tissues so that body parts under the incision may be accessed. The general term retractor usually describes a simple handheld steel tool possessing a curved, hooked, or angled blade and fitted with a comfortable handle, that when in place maintains the desired position of a given region of tissue. These simple retractors may be handheld, clamped in place, or suspended at the end of a robotic arm. Retractors can also be self-retaining and not need to be held once inserted by having two or more opposing blades or hooks which are separated via spring, ratchet, worm gear or other method. The term retractor is also used to describe distinct, hand-cranked devices such as rib spreaders (also known as thoracic retractors, or distractors) with which surgeons may forcefully drive tissues apart to obtain exposure. For specialized situations such as spinal surgery, retractors have been fitted both with suction and with fiberoptic lights to keep a surgical wound dry and illuminated.",literal,http://dbpedia.org/resource/Category:Surgical_instruments,literal,http://dbpedia.org/class/yago/Artifact100021939 | http://dbpedia.org/class/yago/Device103183080 | http://dbpedia.org/class/yago/Instrument103574816 | http://dbpedia.org/class/yago/Instrumentality103575240 | http://dbpedia.org/class/yago/MedicalInstrument103739693 | http://dbpedia.org/class/yago/Object100002684 | http://dbpedia.org/class/yago/PhysicalEntity100001930 | http://dbpedia.org/class/yago/SurgicalInstrument104364545 | http://dbpedia.org/class/yago/Whole100003553 | http://dbpedia.org/class/yago/WikicatSurgicalInstruments
uri,http://dbpedia.org/resource/Ventricular_assist_device,literal,en,Ventricular assist device,literal,en,"A ventricular assist device (VAD) is an electromechanical device for assisting cardiac circulation, which is used either to partially or to completely replace the function of a failing heart. The function of VADs is different from that of artificial cardiac pacemakers; some are for short-term use, typically for patients recovering from myocardial infarction (heart attack) and for patients recovering from cardiac surgery; some are for long-term use (months to years to perpetuity), typically for patients suffering from advanced heart failure.",literal,en,"A ventricular assist device (VAD) is an electromechanical device for assisting cardiac circulation, which is used either to partially or to completely replace the function of a failing heart. The function of VADs is different from that of artificial cardiac pacemakers; some are for short-term use, typically for patients recovering from myocardial infarction (heart attack) and for patients recovering from cardiac surgery; some are for long-term use (months to years to perpetuity), typically for patients suffering from advanced heart failure. VADs are designed to assist either the right ventricle (RVAD) or the left ventricle (LVAD), or to assist both ventricles (BiVAD). The type of ventricular assistance device applied depends upon the type of underlying heart disease, and upon the pulmonary arterial resistance, which determines the workload of the right ventricle. The left ventricle assistance device (LVAD) is the most common device applied to a defective heart (it is sufficient in most cases; the right side of the heart is then often able to make use of the heavily increased blood flow), but when the pulmonary arterial resistance is high, then an (additional) right ventricle assistance device (RVAD) might be necessary to resolve the problem of cardiac circulation. If both a LVAD and a RVAD is needed a BiVAD is normally used, rather than a separate LVAD and an RVAD. Normally, the long-term VAD is used as a bridge to transplantation (BTT)—keeping the patient alive, and in reasonably good condition, and able to await the heart transplant outside of the hospital.Other ""bridges"" include bridge to candidacy, bridge to decision, and bridge to recovery.In some instances VADs are also used as destination therapy (DT). In this instance, the patient shall not undergo a heart transplantion and the VAD is what the patient will use for the remainder of their life. VADs are distinct from artificial hearts, which are designed to assume cardiac function, and generally require the removal of the patient's heart.",literal,http://dbpedia.org/resource/Category:Implants_(medicine) | http://dbpedia.org/resource/Category:Medical_devices,literal,http://dbpedia.org/class/yago/Abstraction100002137 | http://dbpedia.org/class/yago/Act100030358 | http://dbpedia.org/class/yago/Engagement101239064 | http://dbpedia.org/class/yago/Event100029378 | http://dbpedia.org/class/yago/GroupAction101080366 | http://dbpedia.org/class/yago/Intervention101240210 | http://dbpedia.org/class/yago/PsychologicalFeature100023100 | http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity
uri,http://dbpedia.org/resource/Trocar,literal,en,Trocar,literal,en,"A trocar (or trochar) is a medical or veterinary device that is made up of an obturator (which may be a metal or plastic sharpened or non-bladed tip), a cannula (essentially a hollow tube), and a seal. Trocars are placed through the abdomen during laparoscopic surgery. The trocar functions as a portal for the subsequent placement of other instruments, such as graspers, scissors, staplers, etc. Trocars also allow the escape of gas or fluid from organs within the body.",literal,en,"A trocar (or trochar) is a medical or veterinary device that is made up of an obturator (which may be a metal or plastic sharpened or non-bladed tip), a cannula (essentially a hollow tube), and a seal. Trocars are placed through the abdomen during laparoscopic surgery. The trocar functions as a portal for the subsequent placement of other instruments, such as graspers, scissors, staplers, etc. Trocars also allow the escape of gas or fluid from organs within the body.",literal,http://dbpedia.org/resource/Category:Surgical_instruments,literal,http://dbpedia.org/class/yago/Artifact100021939 | http://dbpedia.org/class/yago/Device103183080 | http://dbpedia.org/class/yago/Instrument103574816 | http://dbpedia.org/class/yago/Instrumentality103575240 | http://dbpedia.org/class/yago/MedicalInstrument103739693 | http://dbpedia.org/class/yago/Object100002684 | http://dbpedia.org/class/yago/PhysicalEntity100001930 | http://dbpedia.org/class/yago/SurgicalInstrument104364545 | http://dbpedia.org/class/yago/Whole100003553 | http://dbpedia.org/class/yago/WikicatSurgicalInstruments
uri,http://dbpedia.org/resource/Carestream_Health,literal,en,Carestream Health,literal,en,"Carestream Health, formerly Eastman Kodak Company's Health Group, is an independent subsidiary of Onex Corporation which is one of Canada's largest corporations.",literal,en,"Carestream Health, formerly Eastman Kodak Company's Health Group, is an independent subsidiary of Onex Corporation which is one of Canada's largest corporations.",literal,http://dbpedia.org/resource/Category:Medical_imaging,literal,"http://dbpedia.org/class/yago/Abstraction100002137 | http://dbpedia.org/class/yago/Company108058098 | http://dbpedia.org/class/yago/Group100031264 | http://dbpedia.org/class/yago/Institution108053576 | http://dbpedia.org/class/yago/Organization108008335 | http://dbpedia.org/class/yago/SocialGroup107950920 | http://dbpedia.org/class/yago/WikicatAmericanCompaniesEstablishedIn2007 | http://dbpedia.org/class/yago/WikicatCanadianCompaniesEstablishedIn2007 | http://dbpedia.org/class/yago/WikicatCompaniesBasedInRochester,NewYork | http://dbpedia.org/class/yago/WikicatCompaniesOfCanada | http://dbpedia.org/class/yago/WikicatHealthCareCompanies | http://dbpedia.org/class/yago/WikicatHealthInformationTechnologyCompanies | http://dbpedia.org/class/yago/YagoLegalActor | http://dbpedia.org/class/yago/YagoLegalActorGeo | http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity | http://dbpedia.org/ontology/Agent | http://dbpedia.org/ontology/Company | http://dbpedia.org/ontology/Organisation | http://schema.org/Organization | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#SocialPerson | http://www.w3.org/2002/07/owl#Thing | http://www.wikidata.org/entity/Q24229398 | http://www.wikidata.org/entity/Q43229 | http://www.wikidata.org/entity/Q4830453"
