label.value,abstract.value,words_string
Implantable loop recorder,"An implantable loop recorder (ILR), also known as an insertable cardiac monitor (ICM), is a small device about the size of a pack of chewing gum or USB memory stick that is implanted just under the skin of the chest for cardiac monitoring (that is, to record the heart's electrical activity).",Implants_(medicine)
Health Canada,"Health Canada (HC; French: Santé Canada, SC) is the department of the Government of Canada responsible for national health policy. The department itself is also responsible for numerous federal health-related agencies, including the Canadian Food Inspection Agency (CFIA) and the Public Health Agency of Canada (PHAC), among others. These organizations help to ensure compliance with federal law in a variety of healthcare, agricultural, and pharmaceutical activities. This responsibility also involves extensive collaboration with various other federal- and provincial-level organizations in order to ensure the safety of food, health, and pharmaceutical products—including the regulation of health research and pharmaceutical manufacturing/testing facilities. The department is responsible to Parliament through the minister of health – presently Patty Hajdu – as part of the federal health portfolio. The deputy minister of health, the senior most civil servant within the department, is responsible for the day-to-day leadership and operations of the department and reports directly to the minister. Originally created as the ""Department of Health"" in 1919—in the wake of the Spanish flu crisis—what is known as Health Canada today was formed in 1993 from the former Health and Welfare Canada department (established in 1944), which split into two separate units; the other department being Human Resources and Labour Canada.",Regulation_of_medical_devices
Visual prosthesis,"A visual prosthesis, often referred to as a bionic eye, is an experimental visual device intended to restore functional vision in those suffering from partial or total blindness. Many devices have been developed, usually modeled on the cochlear implant or bionic ear devices, a type of neural prosthesis in use since the mid-1980s. The idea of using electrical current (e.g., electrically stimulating the retina or the visual cortex) to provide sight dates back to the 18th century, discussed by Benjamin Franklin, Tiberius Cavallo, and Charles LeRoy.","Implants_(medicine),Neuroprosthetics"
Medical Devices Directive,"The Medical Device Directive (Council Directive 93/42/EEC of 14 June 1993 concerning medical devices, OJ No L 169/1 of 1993-07-12) is intended to harmonise the laws relating to medical devices within the European Union. The MD Directive is a 'New Approach' Directive and consequently in order for a manufacturer to legally place a medical device on the European market the requirements of the MD Directive have to be met. Manufacturers' products meeting 'harmonised standards' have a presumption of conformity to the Directive. Products conforming with the MD Directive must have a CE mark applied. The Directive was most recently reviewed and amended by the 2007/47/EC and a number of changes were made. Compliance with the revised directive became mandatory on 21 March 2010. The Medical Devices Directive is being repealed and replaced by the 2017 EU Medical Device Regulation (EU 2017/745), effective on 26 May 2021.",Regulation_of_medical_devices
Nasal spray,"Nasal sprays are used to deliver medications locally in the nasal cavities or systemically. They are used locally for conditions such as nasal congestion and allergic rhinitis. In some situations, the nasal delivery route is preferred for systemic therapy because it provides an agreeable alternative to injection or pills. Substances can be assimilated extremely quickly and directly through the nose. Many pharmaceutical drugs exist as nasal sprays for systemic administration (e.g. sedative-analgesics, treatments for migraine, osteoporosis and nausea). Other applications include hormone replacement therapy, treatment of Alzheimer's disease and Parkinson's disease. Nasal sprays are seen as a more efficient way of transporting drugs with potential use in crossing the blood–brain barrier.","Drug_delivery_devices,Nasal_sprays"
Sacral nerve stimulator,"A sacral nerve stimulator is a small device implanted in the buttocks of people who have problems with bladder and/or bowel control. This device is implanted in the buttock and connected to the sacral nerve by a wire. The device stops urges to defecate and urinate by sending signals to the sacral nerve. The patient is able to control their bladder and/or bowel via an external device similar to a remote control. A 2007 review by the Cochrane Collaboration was cautiously optimistic about the results of sacral nerve stimulation in fecal incontinence, although it also concluded that trial periods of stimulation did not adequately identify patients that would benefit from the procedure, and that more longer-term studies were needed.",Implants_(medicine)
Venturi mask,"The venturi mask, also known as an air-entrainment mask, is a medical device to deliver a known oxygen concentration to patients on controlled oxygen therapy. The mask was invented by Moran Campbell at McMaster University Medical School as a replacement for intermittent oxygen treatment, a practice he described as ""bringing a drowning man to the surface – occasionally"".",Medical_masks
Endoclip,"An endoclip is a metallic mechanical device used in endoscopy in order to close two mucosal surfaces without the need for surgery and suturing. Its function is similar to a suture in gross surgical applications, as it is used to join together two disjointed surfaces, but, can be applied through the channel of an endoscope under direct visualization. Endoclips have found use in treating gastrointestinal bleeding (both in the upper and lower GI tract), in preventing bleeding after therapeutic procedures such as polypectomy, and in closing gastrointestinal perforations. Many forms of endoclips exist of different shapes and sizes, including two and three prong devices, which can be administered using single use and reloadable systems, and may or may not open and close to facilitate placement.",Implants_(medicine)
Nipro,"Nipro Corporation (ニプロ株式会社, Nipro Kabushiki-gaisha) is a Japanese medical equipment manufacturing company. Founded in 1954, the company is headquartered in Osaka and is listed on the Tokyo Stock Exchange and the Osaka Securities Exchange.As of 2013 the company has 58 subsidiaries in Japan, Asia, North and South America and Europe.",Medical_device_manufacturers
Cell encapsulation,"Cell microencapsulation technology involves immobilization of the cells within a polymeric semi-permeable membrane that permits the bidirectional diffusion of molecules such as the influx of oxygen, nutrients, growth factors etc. essential for cell metabolism and the outward diffusion of waste products and therapeutic proteins. At the same time, the semi-permeable nature of the membrane prevents immune cells and antibodies from destroying the encapsulated cells regarding them as foreign invaders. The main motive of cell encapsulation technology is to overcome the existing problem of graft rejection in tissue engineering applications and thus reduce the need for long-term use of immunosuppressive drugs after an organ transplant to control side effects.","Biomaterials,Drug_delivery_devices"
