instance.type,instance.value,label.type,label.xml:lang,label.value,comment.type,comment.xml:lang,comment.value,abstract.type,abstract.xml:lang,abstract.value,wikicategories.type,wikicategories.value,DBpediaOntology.type,DBpediaOntology.value
uri,http://dbpedia.org/resource/Syringe,literal,en,Syringe,literal,en,"A syringe is a simple reciprocating pump consisting of a plunger (though in modern syringes, it is actually a piston) that fits tightly within a cylindrical tube called a barrel. The plunger can be linearly pulled and pushed along the inside of the tube, allowing the syringe to take in and expel liquid or gas through a discharge orifice at the front (open) end of the tube. The open end of the syringe may be fitted with a hypodermic needle, a nozzle or tubing to direct the flow into and out of the barrel. Syringes are frequently used in clinical medicine to administer injections, infuse intravenous therapy into the bloodstream, apply compounds such as glue or lubricant, and draw/measure liquids.",literal,en,"A syringe is a simple reciprocating pump consisting of a plunger (though in modern syringes, it is actually a piston) that fits tightly within a cylindrical tube called a barrel. The plunger can be linearly pulled and pushed along the inside of the tube, allowing the syringe to take in and expel liquid or gas through a discharge orifice at the front (open) end of the tube. The open end of the syringe may be fitted with a hypodermic needle, a nozzle or tubing to direct the flow into and out of the barrel. Syringes are frequently used in clinical medicine to administer injections, infuse intravenous therapy into the bloodstream, apply compounds such as glue or lubricant, and draw/measure liquids. The word ""syringe"" is derived from the Greek σύριγξ (syrinx, meaning ""Pan flute"", ""tube"").",literal,http://dbpedia.org/resource/Category:Drug_delivery_devices,literal,http://www.w3.org/2002/07/owl#Thing
uri,http://dbpedia.org/resource/Grommet,literal,en,Grommet,literal,en,"A grommet is a ring or edge strip inserted into a hole through thin material, typically a sheet of textile fabric, sheet metal or composite of carbon fiber, wood or honeycomb. Grommets are generally flared or collared on each side to keep them in place, and are often made of metal, plastic, or rubber. They may be used to prevent tearing or abrasion of the pierced material or protection from abrasion of the insulation on the wire, cable, line being routed through the penetration, and to cover sharp edges of the piercing, or all of the above.",literal,en,"A grommet is a ring or edge strip inserted into a hole through thin material, typically a sheet of textile fabric, sheet metal or composite of carbon fiber, wood or honeycomb. Grommets are generally flared or collared on each side to keep them in place, and are often made of metal, plastic, or rubber. They may be used to prevent tearing or abrasion of the pierced material or protection from abrasion of the insulation on the wire, cable, line being routed through the penetration, and to cover sharp edges of the piercing, or all of the above. A small grommet may also be called an eyelet, used for example on shoes, tarps and sails for lacing purposes. Grommets in electrical applications are referred to as ""insulating bushings"". Most common are molded rubber bushings that are inserted into hole diameters up to 2"" (51 mm). There are many hole configurations from standard round to assorted U-shapes. Larger penetrations that are irregular in shape as well as long straight edges are often fitted with extruded or stamped strips of continuous length, referred to as ""grommet edging"".This type of protective bushings is quite common in applications that range from telecom switches and data center cabinets to complex and dense wire/cable and even hydraulic tubing in aircraft, transportation vehicles and medical equipment.",literal,http://dbpedia.org/resource/Category:Implants_(medicine),literal,http://www.w3.org/2002/07/owl#Thing
uri,http://dbpedia.org/resource/Microchip_implant_(human),literal,en,Microchip implant (human),literal,en,"A human microchip implant is typically an identifying integrated circuit device or RFID transponder encased in silicate glass and implanted in the body of a human being. This type of subdermal implant usually contains a unique ID number that can be linked to information contained in an external database, such as personal identification, law enforcement, medical history, medications, allergies, and contact information.",literal,en,"A human microchip implant is typically an identifying integrated circuit device or RFID transponder encased in silicate glass and implanted in the body of a human being. This type of subdermal implant usually contains a unique ID number that can be linked to information contained in an external database, such as personal identification, law enforcement, medical history, medications, allergies, and contact information.",literal,http://dbpedia.org/resource/Category:Implants_(medicine),literal,http://dbpedia.org/class/yago/Artifact100021939|http://dbpedia.org/class/yago/Corrective103111899|http://dbpedia.org/class/yago/Device103183080|http://dbpedia.org/class/yago/Implant103563710|http://dbpedia.org/class/yago/Instrumentality103575240|http://dbpedia.org/class/yago/Object100002684|http://dbpedia.org/class/yago/PhysicalEntity100001930|http://dbpedia.org/class/yago/Prosthesis104013729|http://dbpedia.org/class/yago/Whole100003553|http://dbpedia.org/class/yago/WikicatImplants
uri,http://dbpedia.org/resource/Anaesthetic_machine,literal,en,Anaesthetic machine,literal,en,An anaesthetic machine (British English) or anesthesia machine (American English) is a medical device used to generate and mix a fresh gas flow of medical gases and inhalational anaesthetic agents for the purpose of inducing and maintaining anaesthesia.,literal,en,"An anaesthetic machine (British English) or anesthesia machine (American English) is a medical device used to generate and mix a fresh gas flow of medical gases and inhalational anaesthetic agents for the purpose of inducing and maintaining anaesthesia. The machine is commonly used together with a mechanical ventilator, breathing system, suction equipment, and patient monitoring devices; strictly speaking, the term ""anaesthetic machine"" refers only to the component which generates the gas flow, but modern machines usually integrate all these devices into one combined freestanding unit, which is colloquially referred to as the ""anaesthetic machine"" for the sake of simplicity. In the developed world, the most frequent type in use is the continuous-flow anaesthetic machine or ""Boyle's machine"", which is designed to provide an accurate supply of medical gases mixed with an accurate concentration of anaesthetic vapour, and to deliver this continuously to the patient at a safe pressure and flow. This is distinct from intermittent-flow anaesthetic machines, which provide gas flow only on demand when triggered by the patient's own inspiration. Simpler anaesthetic apparatus may be used in special circumstances, such as the , a simplified anaesthesia delivery system invented for the British Defence Medical Services, which is light and portable and may be used for ventilation even when no medical gases are available. This device has unidirectional valves which suck in ambient air, which can be enriched with oxygen from a cylinder, with the help of a set of bellows.",literal,http://dbpedia.org/resource/Category:Drug_delivery_devices,literal,http://dbpedia.org/class/yago/Artifact100021939|http://dbpedia.org/class/yago/Device103183080|http://dbpedia.org/class/yago/Instrumentality103575240|http://dbpedia.org/class/yago/Machine103699975|http://dbpedia.org/class/yago/Object100002684|http://dbpedia.org/class/yago/PhysicalEntity100001930|http://dbpedia.org/class/yago/Whole100003553|http://dbpedia.org/class/yago/WikicatDrugDeliveryDevices|http://dbpedia.org/class/yago/WikicatMachines
uri,http://dbpedia.org/resource/Artificial_heart_valve,literal,en,Artificial heart valve,literal,en,"An artificial heart valve is a one-way valve implanted into the heart of a patient to replace a disfunctional native heart valve (valvular heart disease). The human heart contains four valves: tricuspid valve, pulmonic valve, mitral valve and aortic valve. Their main purpose is to keep blood flowing in one direction through the heart, and from the heart into the major blood vessels connected to it (the pulmonary artery and the aorta). Heart valves can malfunction for a variety of reasons, which can impede the flow of blood through the valve (stenosis) and/or let blood flow backwards through the valve (regurgitation). Both processes put strain on the heart and may lead to serious problems, including heart failure.",literal,en,"An artificial heart valve is a one-way valve implanted into the heart of a patient to replace a disfunctional native heart valve (valvular heart disease). The human heart contains four valves: tricuspid valve, pulmonic valve, mitral valve and aortic valve. Their main purpose is to keep blood flowing in one direction through the heart, and from the heart into the major blood vessels connected to it (the pulmonary artery and the aorta). Heart valves can malfunction for a variety of reasons, which can impede the flow of blood through the valve (stenosis) and/or let blood flow backwards through the valve (regurgitation). Both processes put strain on the heart and may lead to serious problems, including heart failure. Although some dysfunctional valves can be treated with drugs or repaired, others need to be replaced with an artificial valve.",literal,http://dbpedia.org/resource/Category:Implants_(medicine),literal,http://dbpedia.org/class/yago/Artifact100021939|http://dbpedia.org/class/yago/Corrective103111899|http://dbpedia.org/class/yago/Device103183080|http://dbpedia.org/class/yago/Implant103563710|http://dbpedia.org/class/yago/Instrumentality103575240|http://dbpedia.org/class/yago/Object100002684|http://dbpedia.org/class/yago/PhysicalEntity100001930|http://dbpedia.org/class/yago/Prosthesis104013729|http://dbpedia.org/class/yago/Whole100003553|http://dbpedia.org/class/yago/WikicatImplants
uri,http://dbpedia.org/resource/Medical_grade_silicone,literal,en,Medical grade silicone,literal,en,"Medical grade silicones are silicones tested for biocompatibility and are appropriate to be used for medical applications. In the United States, the Food and Drug Administration (FDA) Center for Devices and Radiological Health (CDRH) regulates devices implanted into the body. It does not regulate materials other than certain dental materials. The FDA regulate silicones used in food contact under the auspices of the Center for Food Safety and Nutrition (CFSAN) and for use in pharmaceuticals under the auspices of the Center for Drug Evaluation and Research (CDER).",literal,en,"Medical grade silicones are silicones tested for biocompatibility and are appropriate to be used for medical applications. In the United States, the Food and Drug Administration (FDA) Center for Devices and Radiological Health (CDRH) regulates devices implanted into the body. It does not regulate materials other than certain dental materials. The FDA regulate silicones used in food contact under the auspices of the Center for Food Safety and Nutrition (CFSAN) and for use in pharmaceuticals under the auspices of the Center for Drug Evaluation and Research (CDER). Medical grade silicones are generally grouped into three categories: non implantable, short term implantable, and long-term implantable. Materials approved as Class V and VI can be considered medical grade. Most medical grade silicones are at least Class VI certified. Silicone suppliers and some silicone prototyping companies provide guidelines for material use.",literal,http://dbpedia.org/resource/Category:Biomaterials|http://dbpedia.org/resource/Category:Implants_(medicine),literal,http://dbpedia.org/class/yago/Abstraction100002137|http://dbpedia.org/class/yago/Chemical114806838|http://dbpedia.org/class/yago/Compound114818238|http://dbpedia.org/class/yago/Elastomer114840583|http://dbpedia.org/class/yago/Material114580897|http://dbpedia.org/class/yago/Matter100020827|http://dbpedia.org/class/yago/Part113809207|http://dbpedia.org/class/yago/PhysicalEntity100001930|http://dbpedia.org/class/yago/Polymer114994328|http://dbpedia.org/class/yago/Relation100031921|http://dbpedia.org/class/yago/Silicone115040493|http://dbpedia.org/class/yago/Siloxane115040899|http://dbpedia.org/class/yago/Substance100019613|http://dbpedia.org/class/yago/WikicatElastomers|http://dbpedia.org/class/yago/WikicatSilicones|http://dbpedia.org/class/yago/WikicatSiloxanes
uri,http://dbpedia.org/resource/Adhesion_barrier,literal,en,Adhesion barrier,literal,en,"An adhesion barrier is a medical implant that can be used to reduce abnormal internal scarring (adhesions) following surgery by separating the internal tissues and organs while they heal. Surgeons have realized that proper surgical technique is crucial to reduce adhesion formation. In addition, for more than a century, adjuvants including drugs and materials such as animal membranes, gold foil, mineral oil, sheets made of rubber and Teflon, have been used to reduce the risk of adhesion formation. Nevertheless, adhesions do occur and appear to be, to some degree, an almost unavoidable consequence of abdominal and pelvic surgery. Adhesions can lead to significant post-surgical morbidity, bowel obstruction, infertility, and chronic pelvic pain or chronic abdominal pain.",literal,en,"An adhesion barrier is a medical implant that can be used to reduce abnormal internal scarring (adhesions) following surgery by separating the internal tissues and organs while they heal. Surgeons have realized that proper surgical technique is crucial to reduce adhesion formation. In addition, for more than a century, adjuvants including drugs and materials such as animal membranes, gold foil, mineral oil, sheets made of rubber and Teflon, have been used to reduce the risk of adhesion formation. Nevertheless, adhesions do occur and appear to be, to some degree, an almost unavoidable consequence of abdominal and pelvic surgery. Adhesions can lead to significant post-surgical morbidity, bowel obstruction, infertility, and chronic pelvic pain or chronic abdominal pain. Surgeons and healthcare professionals developed several methods for minimizing tissue injury in order to minimize the formation of adhesions. However, even an experienced surgeon despite using advanced techniques may not be able to fully prevent the formation of adhesions following surgery, without the aid of an adhesion barrier. Consequently, many surgeons apply adhesion barriers while performing abdominal and pelvic surgery. However, one study found the frequency of adhesion barrier use to be very low. The study examined hospital data and found that adhesion barriers were only used in a maximum of 5% of procedures in which the use of a barrier would be appropriate.",literal,http://dbpedia.org/resource/Category:Implants_(medicine),literal,http://dbpedia.org/class/yago/Artifact100021939|http://dbpedia.org/class/yago/Corrective103111899|http://dbpedia.org/class/yago/Device103183080|http://dbpedia.org/class/yago/Implant103563710|http://dbpedia.org/class/yago/Instrumentality103575240|http://dbpedia.org/class/yago/Object100002684|http://dbpedia.org/class/yago/PhysicalEntity100001930|http://dbpedia.org/class/yago/Prosthesis104013729|http://dbpedia.org/class/yago/Whole100003553|http://dbpedia.org/class/yago/WikicatImplants
uri,http://dbpedia.org/resource/Wade-Dahl-Till_valve,literal,en,Wade-Dahl-Till valve,literal,en,"The Wade-Dahl-Till (WDT) valve is a cerebral shunt developed in 1962 by hydraulic engineer Stanley Wade, author Roald Dahl, and neurosurgeon Kenneth Till. In 1960, Dahl's son Theo developed hydrocephalus after being struck by a taxicab. A standard  was installed to drain excess fluid from his brain. However, the shunt jammed too often, causing pain and blindness, risking brain damage and requiring emergency surgery. Till, neurosurgeon at London's Great Ormond Street Hospital for children, determined that debris accumulated in the hydrocephalic ventricles could clog the slits in the Holter valves, especially with patients such as Theo who had bad bleeding in the brain and brain damage.",literal,en,"The Wade-Dahl-Till (WDT) valve is a cerebral shunt developed in 1962 by hydraulic engineer Stanley Wade, author Roald Dahl, and neurosurgeon Kenneth Till. In 1960, Dahl's son Theo developed hydrocephalus after being struck by a taxicab. A standard  was installed to drain excess fluid from his brain. However, the shunt jammed too often, causing pain and blindness, risking brain damage and requiring emergency surgery. Till, neurosurgeon at London's Great Ormond Street Hospital for children, determined that debris accumulated in the hydrocephalic ventricles could clog the slits in the Holter valves, especially with patients such as Theo who had bad bleeding in the brain and brain damage. Dahl knew Wade to be an expert in precision hydraulic engineering, from their shared hobby of flying model aircraft. (In addition to building his own model aircraft engines, Wade ran a factory at High Wycombe for producing precision hydraulic pumps.) With Dahl coordinating the efforts of the neurosurgeon and the hydraulic engineer, the team developed a new mechanism using two metal discs, each in a restrictive housing at the end of a short silicone rubber tube. Fluid moving under pressure from below pushed the discs against the tube to prevent retrograde flow; pressure from above moved each disc to the ""open"" position. As Till reported in The Lancet, the invention was characterized by “low resistance, ease of sterilisation, no reflux, robust construction, and negligible risk of blockage”. By the time the device was perfected, Theo had healed to the point at which it was no longer necessary to implant the shunt in his skull. However, several thousand other children around the world benefited from the WDT valve before medicine technology progressed beyond it. The co-inventors agreed never to accept any profit from the invention.",literal,http://dbpedia.org/resource/Category:Implants_(medicine),literal,http://dbpedia.org/class/yago/Artifact100021939|http://dbpedia.org/class/yago/Corrective103111899|http://dbpedia.org/class/yago/Device103183080|http://dbpedia.org/class/yago/Implant103563710|http://dbpedia.org/class/yago/Instrumentality103575240|http://dbpedia.org/class/yago/Object100002684|http://dbpedia.org/class/yago/PhysicalEntity100001930|http://dbpedia.org/class/yago/Prosthesis104013729|http://dbpedia.org/class/yago/Whole100003553|http://dbpedia.org/class/yago/WikicatImplants
uri,http://dbpedia.org/resource/Sling_(implant),literal,en,Sling (implant),literal,en,"In surgery, a sling is an implant that is intended to provide additional support to a particular tissue. It usually consists of a synthetic mesh material in the shape of a narrow ribbon but sometimes a biomaterial (bovine or porcine) or the patients own tissue. The ends are usually attached to a fixed body part such as the skeleton.",literal,en,"In surgery, a sling is an implant that is intended to provide additional support to a particular tissue. It usually consists of a synthetic mesh material in the shape of a narrow ribbon but sometimes a biomaterial (bovine or porcine) or the patients own tissue. The ends are usually attached to a fixed body part such as the skeleton.",literal,http://dbpedia.org/resource/Category:Implants_(medicine),literal,http://dbpedia.org/class/yago/Artifact100021939|http://dbpedia.org/class/yago/Corrective103111899|http://dbpedia.org/class/yago/Device103183080|http://dbpedia.org/class/yago/Implant103563710|http://dbpedia.org/class/yago/Instrumentality103575240|http://dbpedia.org/class/yago/Object100002684|http://dbpedia.org/class/yago/PhysicalEntity100001930|http://dbpedia.org/class/yago/Prosthesis104013729|http://dbpedia.org/class/yago/Whole100003553|http://dbpedia.org/class/yago/WikicatImplants
uri,http://dbpedia.org/resource/Kirschner_wire,literal,en,Kirschner wire,literal,en,"Kirschner wires or K-wires or pins are sterilized, sharpened, smooth stainless steel pins. Introduced in 1909 by Martin Kirschner, the wires are now widely used in orthopedics and other types of medical and veterinary surgery. They come in different sizes and are used to hold bone fragments together (pin fixation) or to provide an anchor for skeletal traction. The pins are often driven into the bone through the skin (percutaneous pin fixation) using a power or hand drill. They also form part of the Ilizarov apparatus.",literal,en,"Kirschner wires or K-wires or pins are sterilized, sharpened, smooth stainless steel pins. Introduced in 1909 by Martin Kirschner, the wires are now widely used in orthopedics and other types of medical and veterinary surgery. They come in different sizes and are used to hold bone fragments together (pin fixation) or to provide an anchor for skeletal traction. The pins are often driven into the bone through the skin (percutaneous pin fixation) using a power or hand drill. They also form part of the Ilizarov apparatus.",literal,http://dbpedia.org/resource/Category:Implants_(medicine)|http://dbpedia.org/resource/Category:Orthopedic_implants,literal,http://dbpedia.org/class/yago/Artifact100021939|http://dbpedia.org/class/yago/Corrective103111899|http://dbpedia.org/class/yago/Device103183080|http://dbpedia.org/class/yago/Implant103563710|http://dbpedia.org/class/yago/Instrument103574816|http://dbpedia.org/class/yago/Instrumentality103575240|http://dbpedia.org/class/yago/MedicalInstrument103739693|http://dbpedia.org/class/yago/Object100002684|http://dbpedia.org/class/yago/PhysicalEntity100001930|http://dbpedia.org/class/yago/Prosthesis104013729|http://dbpedia.org/class/yago/SurgicalInstrument104364545|http://dbpedia.org/class/yago/Whole100003553|http://dbpedia.org/class/yago/WikicatImplants|http://dbpedia.org/class/yago/WikicatOrthopedicImplants|http://dbpedia.org/class/yago/WikicatSurgicalInstruments
